Sample for t = 0.0
parameter = [0.5558569996051285] likelihood = -19665059.89231953
parameter = [0.32972333629741807] likelihood = -55888422.13972488
parameter = [0.20606916415514565] likelihood = -143085355.9284559
parameter = [0.45377505459781237] likelihood = -29508019.748323783
parameter = [0.44306571462108235] likelihood = -30951735.206077054
parameter = [0.17544929322185004] likelihood = -197386736.14321488
parameter = [0.11313975310149404] likelihood = -474668896.06687665
parameter = [0.26749891843022106] likelihood = -84913578.86142306
parameter = [0.18176126521957792] likelihood = -183915586.56159496
parameter = [0.29452011970388353] likelihood = -70047279.62555951
parameter = [0.44274079555012924] likelihood = -30997181.637413062
parameter = [0.593181446190485] likelihood = -17268172.477106348
parameter = [0.4109077890470719] likelihood = -35985912.24310987
parameter = [0.29981322654771786] likelihood = -67595787.93848628
parameter = [0.11636432406521142] likelihood = -448726300.0564836
parameter = [0.06650626006046648] likelihood = -1373713572.9639266
parameter = [0.046848857746374754] likelihood = -2768364262.8938866
parameter = [0.20033487135075662] likelihood = -151393805.24271813
parameter = [0.3073906140329261] likelihood = -64304298.991448954
parameter = [0.17609733997505977] likelihood = -195936623.71984443
parameter = [0.21413708748778815] likelihood = -132506573.44511844
parameter = [0.35158621590831457] likelihood = -49153850.98229912
parameter = [0.35461352581915967] likelihood = -48318187.71572567
parameter = [0.15649063281079947] likelihood = -248110145.0207139
parameter = [0.2327028522456265] likelihood = -112206442.25061727
parameter = [0.28181246114544933] likelihood = -76506938.30211377
parameter = [0.15015248571168982] likelihood = -269498383.9374281
parameter = [0.1948341076029111] likelihood = -160063104.27201483
parameter = [0.08230594571788108] likelihood = -896930553.177918
parameter = [0.12783523846566341] likelihood = -371809131.4528439
parameter = [0.28865497724498584] likelihood = -72922761.8051697
parameter = [0.27991685351954715] likelihood = -77546662.71811546
parameter = [0.1522429428288368] likelihood = -262148197.9668497
parameter = [0.3815267668306298] likelihood = -41741804.50692968
parameter = [0.31628342383878627] likelihood = -60739100.00988844
parameter = [0.1289094896191026] likelihood = -365638101.49306434
parameter = [0.15748397291375626] likelihood = -244990075.22816497
